date,time
7/17/2012,10:35 AM
7/17/2012,12:15 PM
7/17/2012,12:43 PM
7/17/2012,1:29 PM
7/17/2012,1:45 PM
7/17/2012,2:23 PM
7/17/2012,4:36 PM
7/18/2012,4:38 PM
7/19/2012,10:43 AM
7/19/2012,12:49 PM
7/19/2012,1:03 PM
7/19/2012,3:15 PM
7/20/2012,8:54 AM
7/20/2012,11:07 AM
7/20/2012,12:17 PM
7/23/2012,9:31 AM
7/23/2012,11:00 AM
7/23/2012,11:41 AM
7/23/2012,12:09 PM
7/23/2012,12:10 PM
7/23/2012,12:40 PM
7/23/2012,12:48 PM
7/23/2012,1:29 PM
7/23/2012,2:28 PM
7/23/2012,2:42 PM
7/23/2012,3:18 PM
7/24/2012,9:58 AM
7/24/2012,11:17 AM
7/24/2012,11:49 AM
7/24/2012,12:24 PM
7/24/2012,12:48 PM
7/24/2012,1:54 PM
7/25/2012,12:13 PM
7/26/2012,11:42 AM
7/26/2012,12:01 PM
7/27/2012,12:59 PM
7/30/2012,10:37 AM
7/30/2012,10:53 AM
7/30/2012,1:01 PM
7/30/2012,1:04 PM
7/30/2012,1:06 PM
7/30/2012,1:07 PM
7/30/2012,1:08 PM
7/31/2012,9:22 AM
7/31/2012,10:40 AM
7/31/2012,11:36 AM
7/31/2012,12:48 PM
7/31/2012,1:14 PM
7/31/2012,1:37 PM
7/31/2012,3:41 PM
8/1/2012,8:38 AM
8/1/2012,10:00 AM
8/1/2012,10:19 AM
8/1/2012,10:29 AM
8/1/2012,12:51 PM
8/1/2012,1:18 PM
8/1/2012,3:33 PM
8/2/2012,9:39 AM
8/2/2012,9:51 AM
8/2/2012,12:37 PM
8/3/2012,9:36 AM
8/3/2012,12:03 PM
8/3/2012,2:45 PM
8/6/2012,8:39 AM
8/6/2012,10:52 AM
8/7/2012,9:03 AM
8/7/2012,12:12 PM
8/7/2012,4:16 PM
8/8/2012,10:25 AM
8/8/2012,10:41 AM
8/8/2012,12:50 PM
8/8/2012,12:59 PM
8/9/2012,9:04 AM
8/9/2012,10:37 AM
8/9/2012,12:25 PM
8/9/2012,12:38 PM
8/9/2012,4:09 PM
8/10/2012,8:05 AM
8/10/2012,10:36 AM
8/13/2012,8:32 AM
8/13/2012,9:13 AM
8/13/2012,11:40 AM
8/13/2012,12:16 PM
8/13/2012,12:38 PM
8/13/2012,12:48 PM
8/13/2012,12:58 PM
8/14/2012,8:31 AM
8/14/2012,8:55 AM
8/14/2012,11:51 AM
8/14/2012,12:46 PM
8/14/2012,1:09 PM
8/14/2012,1:09 PM
8/15/2012,8:54 AM
8/16/2012,8:55 AM
8/16/2012,10:07 AM
8/16/2012,10:21 AM
8/16/2012,1:17 PM
8/17/2012,7:44 AM
8/20/2012,1:34 PM
8/21/2012,2:23 PM
8/23/2012,9:23 AM
8/23/2012,10:42 AM
8/24/2012,11:54 AM
8/27/2012,12:19 PM
8/28/2012,11:37 AM
