date,time
2/29/2012,3:47 PM
2/29/2012,3:50 PM
2/29/2012,3:53 PM
2/29/2012,4:06 PM
2/29/2012,4:13 PM
2/29/2012,4:14 PM
2/29/2012,4:32 PM
2/29/2012,4:32 PM
2/29/2012,4:37 PM
2/29/2012,4:38 PM
2/29/2012,5:34 PM
2/29/2012,5:49 PM
2/29/2012,5:58 PM
2/29/2012,6:04 PM
3/1/2012,10:02 AM
3/1/2012,10:35 AM
3/1/2012,11:15 AM
3/1/2012,11:32 AM
3/1/2012,12:23 PM
3/1/2012,12:24 PM
3/1/2012,12:31 PM
3/1/2012,12:35 PM
3/1/2012,12:38 PM
3/1/2012,12:38 PM
3/1/2012,12:44 PM
3/1/2012,12:51 PM
3/1/2012,1:06 PM
3/1/2012,1:37 PM
3/1/2012,2:12 PM
3/1/2012,2:17 PM
3/1/2012,2:38 PM
3/1/2012,2:43 PM
3/1/2012,2:50 PM
3/1/2012,2:53 PM
3/1/2012,3:09 PM
3/1/2012,3:11 PM
3/1/2012,3:24 PM
3/1/2012,3:28 PM
3/1/2012,4:02 PM
3/1/2012,4:03 PM
3/1/2012,4:08 PM
3/1/2012,4:09 PM
3/1/2012,4:10 PM
3/1/2012,4:12 PM
3/1/2012,4:19 PM
3/1/2012,4:25 PM
3/1/2012,4:25 PM
3/1/2012,4:33 PM
3/1/2012,4:39 PM
3/1/2012,4:40 PM
3/1/2012,5:14 PM
3/1/2012,5:26 PM
3/1/2012,5:44 PM
3/1/2012,5:46 PM
3/1/2012,5:59 PM
3/1/2012,5:59 PM
3/1/2012,6:18 PM
3/1/2012,6:43 PM
3/2/2012,9:47 AM
3/2/2012,9:52 AM
3/2/2012,10:09 AM
3/2/2012,10:10 AM
3/2/2012,10:42 AM
3/2/2012,12:01 PM
3/2/2012,12:07 PM
3/2/2012,12:13 PM
3/2/2012,12:17 PM
3/2/2012,12:21 PM
3/2/2012,12:22 PM
3/2/2012,12:23 PM
3/2/2012,12:49 PM
3/2/2012,12:57 PM
3/2/2012,1:21 PM
3/2/2012,1:23 PM
3/2/2012,1:49 PM
3/2/2012,1:54 PM
3/2/2012,2:10 PM
3/2/2012,2:18 PM
3/2/2012,2:24 PM
3/2/2012,2:32 PM
3/2/2012,2:45 PM
3/2/2012,3:26 PM
3/2/2012,4:06 PM
3/2/2012,4:25 PM
3/2/2012,4:54 PM
3/5/2012,8:13 AM
3/5/2012,10:02 AM
3/5/2012,11:02 AM
3/5/2012,11:53 AM
3/5/2012,12:10 PM
3/5/2012,12:19 PM
3/5/2012,12:19 PM
3/5/2012,12:22 PM
3/5/2012,12:28 PM
3/5/2012,12:29 PM
3/5/2012,12:31 PM
3/5/2012,12:37 PM
3/5/2012,12:39 PM
3/5/2012,12:39 PM
3/5/2012,12:42 PM
3/5/2012,12:48 PM
3/5/2012,12:49 PM
3/5/2012,12:50 PM
3/5/2012,12:56 PM
3/5/2012,1:02 PM
3/5/2012,1:18 PM
3/5/2012,1:21 PM
3/5/2012,1:22 PM
3/5/2012,1:26 PM
3/5/2012,1:48 PM
3/5/2012,2:06 PM
3/5/2012,2:09 PM
3/5/2012,2:27 PM
3/5/2012,2:28 PM
3/5/2012,2:44 PM
3/5/2012,2:46 PM
3/5/2012,3:05 PM
3/5/2012,3:09 PM
3/5/2012,3:26 PM
3/5/2012,3:30 PM
3/5/2012,3:32 PM
3/5/2012,3:49 PM
3/5/2012,4:02 PM
3/5/2012,4:19 PM
3/5/2012,4:22 PM
3/5/2012,4:37 PM
3/5/2012,4:39 PM
3/5/2012,5:07 PM
3/6/2012,10:47 AM
3/6/2012,11:03 AM
3/6/2012,11:16 AM
3/6/2012,11:19 AM
3/6/2012,11:51 AM
3/6/2012,11:58 AM
3/6/2012,12:15 PM
3/6/2012,12:15 PM
3/6/2012,12:35 PM
3/6/2012,12:38 PM
3/6/2012,12:41 PM
3/6/2012,12:56 PM
3/6/2012,12:57 PM
3/6/2012,1:02 PM
3/6/2012,1:09 PM
3/6/2012,1:16 PM
3/6/2012,1:18 PM
3/6/2012,1:36 PM
3/6/2012,1:46 PM
3/6/2012,1:59 PM
3/6/2012,2:23 PM
3/6/2012,2:29 PM
3/6/2012,2:32 PM
3/6/2012,2:32 PM
3/6/2012,2:35 PM
3/6/2012,2:36 PM
3/6/2012,2:38 PM
3/6/2012,2:38 PM
3/6/2012,2:38 PM
3/6/2012,3:02 PM
3/6/2012,3:15 PM
3/6/2012,3:31 PM
3/6/2012,3:36 PM
3/6/2012,3:42 PM
3/6/2012,3:57 PM
3/6/2012,3:59 PM
3/6/2012,4:06 PM
3/6/2012,4:08 PM
3/6/2012,4:17 PM
3/6/2012,4:20 PM
3/6/2012,4:31 PM
3/6/2012,4:36 PM
3/6/2012,5:04 PM
3/6/2012,5:10 PM
3/6/2012,5:22 PM
3/6/2012,6:04 PM
3/6/2012,6:11 PM
3/6/2012,6:21 PM
3/7/2012,8:28 AM
3/7/2012,8:28 AM
3/7/2012,8:40 AM
3/7/2012,8:53 AM
3/7/2012,9:25 AM
3/7/2012,9:54 AM
3/7/2012,10:31 AM
3/7/2012,11:49 AM
3/7/2012,11:52 AM
3/7/2012,12:08 PM
3/7/2012,12:29 PM
3/7/2012,12:36 PM
3/7/2012,12:43 PM
3/7/2012,12:45 PM
3/7/2012,12:52 PM
3/7/2012,1:48 PM
3/7/2012,2:08 PM
3/7/2012,2:13 PM
3/7/2012,2:21 PM
3/7/2012,2:32 PM
3/7/2012,2:35 PM
3/7/2012,3:05 PM
3/7/2012,3:08 PM
3/7/2012,3:13 PM
3/7/2012,3:33 PM
3/7/2012,3:39 PM
3/7/2012,3:57 PM
3/7/2012,4:02 PM
3/7/2012,4:03 PM
3/7/2012,4:08 PM
3/7/2012,5:00 PM
3/7/2012,5:00 PM
3/7/2012,5:02 PM
3/7/2012,5:14 PM
3/7/2012,5:41 PM
3/7/2012,5:41 PM
3/7/2012,5:57 PM
3/7/2012,6:11 PM
3/8/2012,11:22 AM
3/8/2012,11:33 AM
3/8/2012,11:52 AM
3/8/2012,12:00 PM
3/8/2012,12:24 PM
3/8/2012,12:31 PM
3/8/2012,12:33 PM
3/8/2012,12:54 PM
3/8/2012,12:58 PM
3/8/2012,1:00 PM
3/8/2012,1:12 PM
3/8/2012,1:18 PM
3/8/2012,1:33 PM
3/8/2012,2:23 PM
3/8/2012,2:31 PM
3/8/2012,2:32 PM
3/8/2012,2:33 PM
3/8/2012,2:36 PM
3/8/2012,2:37 PM
3/8/2012,2:43 PM
3/8/2012,2:43 PM
3/8/2012,2:45 PM
3/8/2012,3:03 PM
3/8/2012,3:09 PM
3/8/2012,3:14 PM
3/8/2012,3:17 PM
3/8/2012,3:34 PM
3/8/2012,3:43 PM
3/8/2012,4:01 PM
3/8/2012,4:04 PM
3/8/2012,4:08 PM
3/8/2012,5:22 PM
3/8/2012,5:32 PM
3/8/2012,5:33 PM
3/8/2012,5:40 PM
3/8/2012,6:00 PM
3/8/2012,6:14 PM
3/8/2012,6:30 PM
3/8/2012,6:31 PM
3/8/2012,6:32 PM
3/8/2012,6:43 PM
3/8/2012,6:48 PM
3/8/2012,6:51 PM
3/8/2012,6:56 PM
3/9/2012,9:36 AM
3/9/2012,9:59 AM
3/9/2012,10:35 AM
3/9/2012,10:55 AM
3/9/2012,12:24 PM
3/9/2012,12:59 PM
3/9/2012,1:00 PM
3/9/2012,1:00 PM
3/9/2012,1:10 PM
3/9/2012,1:20 PM
3/9/2012,1:45 PM
3/9/2012,1:53 PM
3/9/2012,1:59 PM
3/9/2012,2:33 PM
3/9/2012,3:24 PM
3/9/2012,3:53 PM
3/9/2012,4:08 PM
3/12/2012,9:26 AM
3/12/2012,9:58 AM
3/12/2012,10:02 AM
3/12/2012,10:05 AM
3/12/2012,11:28 AM
3/12/2012,11:29 AM
3/12/2012,11:32 AM
3/12/2012,12:10 PM
3/12/2012,12:24 PM
3/12/2012,12:38 PM
3/12/2012,12:50 PM
3/12/2012,12:50 PM
3/12/2012,12:54 PM
3/12/2012,12:59 PM
3/12/2012,1:03 PM
3/12/2012,1:04 PM
3/12/2012,1:10 PM
3/12/2012,1:13 PM
3/12/2012,1:39 PM
3/12/2012,1:56 PM
3/12/2012,2:18 PM
3/12/2012,2:25 PM
3/12/2012,2:26 PM
3/12/2012,2:27 PM
3/12/2012,2:29 PM
3/12/2012,2:29 PM
3/12/2012,2:52 PM
3/12/2012,2:58 PM
3/12/2012,2:59 PM
3/12/2012,3:25 PM
3/12/2012,3:35 PM
3/12/2012,3:51 PM
3/12/2012,3:58 PM
3/12/2012,4:03 PM
3/12/2012,4:26 PM
3/12/2012,4:44 PM
3/12/2012,5:04 PM
3/12/2012,5:22 PM
3/12/2012,5:22 PM
3/12/2012,5:22 PM
3/12/2012,5:26 PM
3/13/2012,8:32 AM
3/13/2012,11:04 AM
3/13/2012,11:34 AM
3/13/2012,11:42 AM
3/13/2012,11:47 AM
3/13/2012,12:14 PM
3/13/2012,12:24 PM
3/13/2012,12:45 PM
3/13/2012,12:57 PM
3/13/2012,1:04 PM
3/13/2012,1:14 PM
3/13/2012,1:56 PM
3/13/2012,2:07 PM
3/13/2012,2:30 PM
3/13/2012,2:31 PM
3/13/2012,2:45 PM
3/13/2012,2:53 PM
3/13/2012,2:59 PM
3/13/2012,3:46 PM
3/13/2012,3:52 PM
3/13/2012,3:55 PM
3/13/2012,4:00 PM
3/13/2012,4:11 PM
3/13/2012,4:40 PM
3/13/2012,4:42 PM
3/13/2012,5:31 PM
3/13/2012,6:56 PM
3/14/2012,9:02 AM
3/14/2012,9:36 AM
3/14/2012,9:42 AM
3/14/2012,9:48 AM
3/14/2012,9:54 AM
3/14/2012,10:26 AM
3/14/2012,12:15 PM
3/14/2012,12:30 PM
3/14/2012,12:32 PM
3/14/2012,12:51 PM
3/14/2012,12:59 PM
3/14/2012,1:25 PM
3/14/2012,1:56 PM
3/14/2012,2:23 PM
3/14/2012,2:24 PM
3/14/2012,2:28 PM
3/14/2012,2:32 PM
3/14/2012,4:01 PM
3/14/2012,5:08 PM
3/14/2012,5:25 PM
3/14/2012,5:26 PM
3/15/2012,11:43 AM
3/15/2012,12:18 PM
3/15/2012,12:39 PM
3/15/2012,12:39 PM
3/15/2012,12:54 PM
3/15/2012,1:10 PM
3/15/2012,1:24 PM
3/15/2012,1:58 PM
3/15/2012,2:20 PM
3/15/2012,2:22 PM
3/15/2012,2:27 PM
3/15/2012,2:28 PM
3/15/2012,2:30 PM
3/15/2012,2:32 PM
3/15/2012,2:34 PM
3/15/2012,2:36 PM
3/15/2012,2:37 PM
3/15/2012,2:48 PM
3/15/2012,2:56 PM
3/15/2012,3:55 PM
3/15/2012,4:44 PM
3/15/2012,4:45 PM
3/15/2012,5:05 PM
3/16/2012,11:19 AM
3/16/2012,11:40 AM
3/16/2012,2:05 PM
3/16/2012,2:36 PM
3/16/2012,2:39 PM
3/16/2012,3:51 PM
3/16/2012,4:34 PM
3/19/2012,11:59 AM
3/19/2012,12:00 PM
3/19/2012,12:11 PM
3/19/2012,12:20 PM
3/19/2012,12:26 PM
3/19/2012,12:28 PM
